model,n,ev,nfeat,auc,sd,ap,official
counts_gb,3136,250,2814,0.8381168861168861,0.0046847410447570775,0.3250724645825629,0.8239274258219728
log1p_gb,3136,250,2814,0.8380803880803881,0.004645911791960244,0.32496504723294817,0.8239274258219728
log1p_lr,3136,250,2814,0.7570723030723029,0.0013906143301312948,0.2504454656524765,0.7789695268644748
