outcome,meta,auc,ap,wmean3,diff,lo,hi
death_30d,LR (linear),0.8699911833290762,0.4399016550531613,0.8714517019470834,-0.0014478360965507894,-0.003884113100561934,0.0009132293223692182
death_30d,LR C=0.5,0.8700612223037055,0.43965032748257565,0.8714517019470834,-0.0013809779442377787,-0.0039487373527800655,0.0011336217689134078
death_30d,GB (nonlinear),0.860653340035102,0.41890492823067754,0.8714517019470834,-0.010896556431097973,-0.022868902921645482,0.0012050065109540148
death_30d,RF (nonlinear),0.8707904516277881,0.4344069018435977,0.8714517019470834,-0.0007909489578389316,-0.014092615692735793,0.012413676688349487
death_30d,MLP 8,0.8642727070475689,0.4322336641291352,0.8714517019470834,-0.0071522097506050404,-0.01182085105256039,-0.002708945081640927
death_30d,MLP 16-8,0.8674656603027331,0.42822768671195455,0.8714517019470834,-0.004080867864194987,-0.007904197186788638,-0.0003890671890589653
death_30d,WMEAN3,0.8714517019470834,0.4459236959184033,0.8714517019470834,0.0,0.0,0.0
death_30d,MEAN3,0.8631850429709709,0.4294511204099653,0.8714517019470834,,,
composite_30d,LR (linear),0.8368074277283688,0.41172436190626976,0.838866406356467,-0.0020515046641352537,-0.0038796515554210182,-0.00031145050182998095
composite_30d,LR C=0.5,0.8368666789119112,0.41223235569595545,0.838866406356467,-0.0019915472114652175,-0.003813186267305055,-0.00026376234829544117
composite_30d,GB (nonlinear),0.8296276655626197,0.3820560538389778,0.838866406356467,-0.00917299371527142,-0.020066269318362365,0.00204685430324647
composite_30d,RF (nonlinear),0.8338582000675464,0.40080584530151453,0.838866406356467,-0.005032237937734307,-0.01447702849352481,0.004652322824671539
composite_30d,MLP 8,0.8310037743003916,0.4001768278046298,0.838866406356467,-0.007851696773238293,-0.011726067134474046,-0.00423467464514061
composite_30d,MLP 16-8,0.8333738216420873,0.3970320914959752,0.838866406356467,-0.0055077809769391375,-0.008634322119425542,-0.0025092299495590438
composite_30d,WMEAN3,0.838866406356467,0.4149240831173107,0.838866406356467,0.0,0.0,0.0
composite_30d,MEAN3,0.8322569368323133,0.4074936319568379,0.838866406356467,,,
