outcome,var,cmp,diff,lo,hi,delong_p
composite_30d,base_cm_dv,EHR,0.021160439321435447,0.007023785296651841,0.03472547932155129,0.0022141692360266862
composite_30d,base_cm_dv,WMEAN2,0.013959022698522791,0.002585893805256467,0.02450897282610256,0.012313330377738962
composite_30d,base_cm_dv,sPESI,0.11682928813736147,0.08355700209965211,0.14976292014653167,1.0933476346508542e-12
death_30d,base_cm_dv,EHR,0.026170465782007633,0.009468119650284896,0.04191304904804485,0.0013671139807560628
death_30d,base_cm_dv,WMEAN2,0.01683958483027896,0.00518495363134952,0.02836849839365528,0.0044176149191077485
death_30d,base_cm_dv,sPESI,0.12905884461989173,0.09219467984435456,0.1655329519240249,2.3678170535390564e-11
