fold,best_epoch,inner_val_auc,honest_outer_auc,honest_outer_ap,optimistic_max_outer
1,2,0.4884960780465569,0.573254694031555,0.21639295654923169,0.608860822336739
2,12,0.6053753706195751,0.6408373943065515,0.33073157711666423,0.6408373943065515
3,1,0.6535244890569929,0.46173213261208096,0.19303550259793217,0.5200513592832869
4,1,0.5863403755324165,0.5689939569782808,0.17353483442986284,0.5697060767270312
5,7,0.6568170036288232,0.555465822258749,0.24430156331938502,0.5771752978661597
