variant,n,auc_mean,auc_sd,auc_min,auc_max,ap_mean,ap_sd,val_mean,ep_mean
erm_pooled,5,0.6632806420233462,0.024946338531192973,0.632278606427439,0.6948634979824182,0.24663151892428908,0.025285117638608797,0.5882530351039169,60.8
erm_pooled_shuf,5,0.6555241659461017,0.01798529042266343,0.6435590502954316,0.6861243965268771,0.2395346369483642,0.016280784875677322,0.5915291140341012,82.2
erm_envbn,5,0.6681838611471393,0.021122590487082333,0.6431636402939905,0.7016854463899698,0.24223502833904703,0.021766903502352237,0.5882863936057516,82.6
envbn_tgtbn,5,0.6734081369793918,0.0210727938478845,0.644457504683672,0.7021770067733104,0.24525236653561944,0.019757647218741937,0.5872391917981555,84.4
dann_vrex,5,0.6979018500504395,0.036183819639978944,0.6603520410001441,0.7484859129557573,0.2698739979917663,0.041865490884763164,0.5678244492303447,27.6
