outcome,auc_wmean3,auc_wmean2,peak_gain_thr,peak_gain
death_30d,0.8714517019470834,0.854650587915393,0.205,0.0300616374359713
composite_30d,0.838866406356467,0.8248357260936287,0.13999999999999999,0.0329650821395895
