outcome,ehr,ehr_auc,wmean3,ap,gain,lo,hi,w_ehr,w_ecg,w_ctpa
death_30d,zero-shot,0.8451809065515281,0.8714517019470834,0.4459236959184033,0.026170465782007633,0.009468119650284896,0.04191304904804485,0.5599999999999999,0.19,0.25
death_30d,MIMIC-28,0.8939527525317028,0.9076659717701733,0.5257201191030861,0.013720491000792194,0.0035994723013681035,0.02395191633618491,0.6799999999999999,0.15,0.16999999999999998
death_30d,MIMIC-all,0.9024563080396503,0.9101688351282536,0.56353358200522,0.007735488633267604,0.0001177006782856649,0.015551437545002579,0.75,0.11000000000000001,0.13999999999999999
composite_30d,zero-shot,0.8176870707992393,0.838866406356467,0.4149240831173107,0.021160439321435447,0.007023785296651841,0.03472547932155129,0.5599999999999999,0.17,0.27
composite_30d,MIMIC-28,0.8446967228170383,0.8584518850764042,0.4830652006692419,0.013753205858736855,0.0022936163492584235,0.0244058097333155,0.63,0.18,0.19
composite_30d,MIMIC-all,0.859779111587754,0.8663189609712454,0.5302968210942753,0.006491825850521472,-0.002580921079905124,0.014659075160519104,0.7,0.16,0.13999999999999999
