thr,TP,FP,TN,FN,sens,spec,ppv,f1,model
0.6095423563777994,108,294,568,57,0.6545454545454545,0.6589327146171694,0.26865671641791045,0.38095238095238093,EHR
0.50730282375852,122,385,477,43,0.7393939393939394,0.5533642691415314,0.2406311637080868,0.36309523809523814,ECG
0.4780915287244401,123,414,448,42,0.7454545454545455,0.5197215777262181,0.22905027932960895,0.3504273504273504,CXR
0.5204479065238559,131,362,500,34,0.793939393939394,0.580046403712297,0.2657200811359026,0.3981762917933131,MEAN2
0.5319701395650762,127,343,519,38,0.7696969696969697,0.6020881670533643,0.2702127659574468,0.4,MEAN3
