outcome,var,n,ev,ehr,ecg,ctpa,wmean2,wmean3,wmean3_meta,inc,lo,hi,vs_meta,vm_lo,vm_hi,r_ehr
cv_first,base_cm,1555,81,0.7916059433472368,0.6573613414409434,0.5871944988860411,0.7845117845117844,0.7860989664472252,0.7836616580397675,0.0015826442900943657,-0.002122765939193105,0.005293277839778079,0.0024413272633331414,-0.0013313447945856234,0.006345869632214634,0.146142537683917
cv_first,base_cm_dv,1555,81,0.7916059433472368,0.6573613414409434,0.5761302913044206,0.7845117845117844,0.7829539172822754,0.7836616580397675,-0.0015793821355670735,-0.005513181619678986,0.002213372898823024,-0.0007206991623282975,-0.004744132487160033,0.0032561694620830885,0.14371003715680644
composite_30d,base_cm,1703,229,0.8176870707992393,0.7309285252972928,0.7342465915756669,0.8248357260936287,0.8388012300545703,0.8232744574072866,0.013959589784043108,0.0028919622832828894,0.024468545023243103,0.015524755425623626,0.004545053769086804,0.02570004500275949,0.3704701803535125
composite_30d,base_cm_dv,1703,229,0.8176870707992393,0.7309285252972928,0.7369543706635541,0.8248357260936287,0.838866406356467,0.8232744574072866,0.013959022698522791,0.002585893805256467,0.02450897282610256,0.015524188340103311,0.00463871024158494,0.025836358097830733,0.37089166269244467
death_30d,base_cm,1703,157,0.8451809065515281,0.7408310742330733,0.7693904961231368,0.854650587915393,0.866314137161032,0.8544033915343479,0.011683712212802802,0.0010285569968158908,0.022274043052426765,0.01193886804305904,0.00148526666542341,0.02220796957920421,0.38574211301592626
death_30d,base_cm_dv,1703,157,0.8451809065515281,0.7408310742330733,0.7814330798197114,0.854650587915393,0.8714517019470834,0.8544033915343479,0.01683958483027896,0.00518495363134952,0.02836849839365528,0.0170947406605352,0.005501009408737012,0.028581787911833457,0.3775345500349362
death_30d_inhosp,base_cm,1703,88,0.8353926259499015,0.7338798198705319,0.6872537292428935,0.8422811708415423,0.8456691528285956,0.8422741345341964,0.0033321814165028357,-0.006570452585544178,0.01324456731282878,0.0033389147007694946,-0.006570285659725164,0.013252298523979278,0.2571530359631438
death_30d_inhosp,base_cm_dv,1703,88,0.8353926259499015,0.7338798198705319,0.7593688432310723,0.8422811708415423,0.8574127497889108,0.8422741345341964,0.014862104601544697,-0.007177465080184101,0.036327404160790444,0.014868837885811358,-0.0071741803755873525,0.036343370666585544,0.2999220748950146
